client_id	path	sentence	up_votes	down_votes	age	gender	accent
f151154d3cfc274b93fd1bf581d853f2a582c78c4384ad9aeb557062a7c7fdd2ed71b91a048feec460f07a561ec99ddc8d7ff765ac2d9d55496ea661d1ee2f12	a046cfc95873ed6de4752b4141d9d2c9c3d17ec710b4aea393182b8d1b4caec238d0346bd347c2c731fff34f13ee3173319b78c7df9d8e00adf7a2b5587bac53.mp3	A young child is in a harness climbing a rock wall.	0	3	thirties	male	indian
f151154d3cfc274b93fd1bf581d853f2a582c78c4384ad9aeb557062a7c7fdd2ed71b91a048feec460f07a561ec99ddc8d7ff765ac2d9d55496ea661d1ee2f12	18f4b725ad7218f576fb0a57537a47bf1a884525a0a647533d4c834fdaeb6ddef5c2db79bccdf2ae0029968b7bab0117ae1ea2c6e9bea7bdf032e87825a22373.mp3	"You can't unscramble a scrambled egg."	2	7	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	5ca9d76631e475bb1bd2a9491c6748f5092ffeb372949eb6016a16bb83d4c29d4970a1b903e97e3f4a356cdfb3b783841f7c3c3c9e3658b8e148a15545786307.mp3	The line forms on the right.	2	5	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	29aeebfd43772c796bfc1ca6683c4b1508370e5f48e697ece81df725bb7c1d442f6871ba1de6a24a5b6a53df6b9a2daa01213b9455a063eb5d2ec9f215cf394a.mp3	The Internet should put the power in the hands of the many	2	3	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	a38a20eaa2917cd7643ec5dcbfae99f06254156e232711774da1162900cc0e379fa4669a5a35d5b85cfac4fc082b72aca58165b9cdb25ee489bb4ac256890517.mp3	"They're on their way."	2	8	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	eb61466c7a8eec695376412fb8944a36c24d3900cd5ba53dae5dd668531ae0427d092780d4cc29ece19abcce4884cf148ad4e59bae5f8ca5b784784b5a0295c0.mp3	"Sadly, it's only available for Windows, so you'll have to do Linux development using a virtual machine or remote access."	0	3	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	81b0948c84f09641ffffa27f347481fbe8b0c1da3368413a16e56fb5a8fe59631be1715c64c3256a084e091f937c1e75b8b002d99c40426a687dc3e6e8eb7066.mp3	Is she coming back here?	0	3	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	863f6deed75b77461996bd1a8ead4801e1a698e70c73083b8349949466f6443f97dfd412a38e2ee1d137f57614a2a1f307d8ab12ffac5b415f66c084a808784d.mp3	Is there a Mrs. Joshua?	0	3	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	e90d3f7360fdb69637d23279ee1e3d935c7c2be4478685b7bcd486fc1951ae609118dad125542145b47b7a2c0f7734ae187a2f76c018d73605da8a5d50950c81.mp3	When playing, children often just reenact what they experienced before.	2	4	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	1d7ce59120cdb6b7d344560fefb1957b646aa193f8de5dc8e02bb09a35c600e97dd1d2bd88df78a449c06be02a1ab4525925f97d2cd8d3b57c32f38827d1c990.mp3	One minute to go!	0	3	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	e97c299ad117a5425850f333b835f07353a8bd9bb5a7e2ebba860ad1bf8b10e16974942b908089fe31b261cb024386f15e06fc48d1886d51bb8d079739eb8e87.mp3	Another run on the bank?	2	3	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	1d509cd23497a2a641f6956a369a75a2dcceabf7b817895843185c56cb04b3823333575da8e1008400d52c686224b2254771c2ab452d85d54b55f907f7eb55e6.mp3	What are they gonna think about you?	2	6	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	bbe2d781f5d3fb9e6a6f75e1017e48d246644206f042e55acae9545393e5d78bcc499545e9ba022d4bda73cdbdd8fd86b1d0acef12c2ba0cf0c497fa87bd6551.mp3	My name is Deborah.	2	5	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	a54a2f33679adc240bb1f176dbd1c07f6ae80cf43be905426a963fe71d824486e9ba71c4a0024d1b10401103ce772cd71b4625894801eba93dc7c69c3789af69.mp3	The raw API is extremely complicated for our needs, so I wrote a simple wrapper DLL.	0	3	thirties	male	indian
c9000a072e9c0ee1eeaf1304b5c2bf1c98fdcf65cdf239da1ed5c2b3dde5efa0cb7a70df3a2d72ed347b56a7e1b2d26808fd08eceaab50dbf795c0fdff33a5a4	63a2c677c77476c289d5a14ca15879765f2ab1cf8fc0ecb38a345f7cc89d6b31bb9c211605321494d182e6b9acbfd5d52368887307b6a56338e7e4e19f71e29f.mp3	Some scientists believe the origin of this oscillating signal to be a neutron star.	0	3	thirties	male	indian
9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317	63de4e70fbee4a4f5207a75ee32f0f331c7e971ff547a5f3eea835b0444f9ea04c571cf0114e1275f2a72587728cd1f17f89d8cf6317cf2e6047b60f578c1e5c.mp3	I’m going to Tacoma to interview a 91-year-old in an assisted living center.	0	2	thirties	male	indian
6d19aa0c6ad851456b58d535dabab86c2167ede779e5d9ec93f82498a984d735ea017526fcb6cc60861982be0b04041920d50cfd6d086d5001479a20f78fcd7a	f267f7c3eb715df487dd1ce902268a24799288bf9d2fa8ea6aa35bdff8faf03da24ef495a11665f207d40e507c18d3aed08c78076026e302a66d77ee001b6358.mp3	Now his intuition was that he had been right in coming.	3	5	twenties	female	indian
6d19aa0c6ad851456b58d535dabab86c2167ede779e5d9ec93f82498a984d735ea017526fcb6cc60861982be0b04041920d50cfd6d086d5001479a20f78fcd7a	7278a7ea49780b05a61a1894d52be74088ccae1396770c9acd7fad9c3f6cdd1c6593cf4593fdb7fe62f3fd85f66aae96f5b9724464b56671fb94a2ba3e2d02d4.mp3	Even if you cleaned my crystal for an entire year...	2	9	twenties	female	indian
6d19aa0c6ad851456b58d535dabab86c2167ede779e5d9ec93f82498a984d735ea017526fcb6cc60861982be0b04041920d50cfd6d086d5001479a20f78fcd7a	796f6419066f66f0a9509bafc0154f5c25817b1431050820ee028c6c98339775732387a22553760950665b37b1c7f9de54e271d3d7c3478d6526f1f59827ce55.mp3	"But you will love her, and she'll return your love."	5	15	twenties	female	indian
6d19aa0c6ad851456b58d535dabab86c2167ede779e5d9ec93f82498a984d735ea017526fcb6cc60861982be0b04041920d50cfd6d086d5001479a20f78fcd7a	38aadef5fe98d777289d9eebc60e981551f7bca8abb92063ff9177e326c962f3389275fd0352ac0c736458a719c28a4131d3f96dd3b0e52b248d20e425be45d7.mp3	"""I've never had one before,"" the merchant answered."	2	7	twenties	female	indian
6d19aa0c6ad851456b58d535dabab86c2167ede779e5d9ec93f82498a984d735ea017526fcb6cc60861982be0b04041920d50cfd6d086d5001479a20f78fcd7a	975e301cec14d89058c8313d9e3da807f62add82ee94d356f6008d9aae89f247de01c388e62c92ebe0d100e7765dc59367708b47ac8691009aac021f5050c7f7.mp3	It was faintly marked with transverse stripes and slightly flattened from the perfect round.	3	6	twenties	female	indian
6d19aa0c6ad851456b58d535dabab86c2167ede779e5d9ec93f82498a984d735ea017526fcb6cc60861982be0b04041920d50cfd6d086d5001479a20f78fcd7a	48cb43f75872d89bc6621bcf7ae511d2be508be156a5c75358cf563b14fa0a9bcfeb8a9081225bef6ae6035ea298b8739b072a622f5b160c8dd74192db83de09.mp3	He had seen the shooting star and was persuaded that a meteorite lay somewhere nearby.	4	5	twenties	female	indian
981d6c969851e087cec25fd5377f2eac5aa5c11454fe1c67522f5c5092c3370be4e903e279cb3f45dbbbefb209d0d9e7dd222312c3bd5aa70287fc6dc96f12af	51ddb127f1c9e4ad3deea1962947a9b2ef248fe294762011708e924fb4ba73dba275c6dd6a9019631a6f7f3a801521793121cb26df59283173dd893796bf18f3.mp3	A large portion of the cylinder had been uncovered.	5	8	twenties	male	indian
981d6c969851e087cec25fd5377f2eac5aa5c11454fe1c67522f5c5092c3370be4e903e279cb3f45dbbbefb209d0d9e7dd222312c3bd5aa70287fc6dc96f12af	8dabf5723fc647052901d6f222dbb36ba20e29d5dcd568415bfd18c678f2d96aad486cae487a9980e56dcfa310bfc6d59e69146b2fe900bc07621198d7ca975d.mp3	Even the guides spoke very little to one another.	2	3	twenties	male	indian
a916919ba6c8f866c979ce47b56a4b08769fa743a716671d02c252996247353dda5b6c6ac5f8d1cb9fd3c5a482ad73e6e0a02f97a138077a3544ba405a7daa13	4990a4d645f178420d559c53d3f7a050b5d4059f1b901e9eed9c87b1b2424ead7ac57a7c69e3a8adfaf39dc570b08ef169650bb07aea77c3ec92951dff703798.mp3	What difference does that make?	3	8	twenties	female	indian
a916919ba6c8f866c979ce47b56a4b08769fa743a716671d02c252996247353dda5b6c6ac5f8d1cb9fd3c5a482ad73e6e0a02f97a138077a3544ba405a7daa13	21e5a95c5a6f64ea48c57bc7f5b20daa3a5d4a73bc846a6500cf1ed51fb7fff089068ff3daa42b9f96d7a0849e17399d7a2a4d2b1eec3b9945df40e86ea5f4ce.mp3	Do you think Steven would have let you keep it?	2	4	twenties	female	indian
a916919ba6c8f866c979ce47b56a4b08769fa743a716671d02c252996247353dda5b6c6ac5f8d1cb9fd3c5a482ad73e6e0a02f97a138077a3544ba405a7daa13	f544abb93e2a44a2332d731639ad8c849049fc06863a03147d97cdf9f97dd3fe55f0c74736543fd34c930aef8677b56518a80a19ca189342e7b16637f2112378.mp3	Get a tray for these great big important leaders.	3	7	twenties	female	indian
099fe79e5dc6c26735e93adfcaa64962bade9caa8390365be49091b79fd9389120d6682ba8463eef2981b762bc7ef182f8c4760f52f1f687fd9c101a4429beb8	121be31b6d45494c55aa518d7595c10fe162fe4853d7de09ff46ffbcd4abaef831f5e8333274ac0ed7b7d525f25dac424d9e5a282cd9f4cc047549664e6761ec.mp3	Nearby was the Englishman, reading a book.	0	5	twenties	male	indian
099fe79e5dc6c26735e93adfcaa64962bade9caa8390365be49091b79fd9389120d6682ba8463eef2981b762bc7ef182f8c4760f52f1f687fd9c101a4429beb8	6003eb73681b1ca005315d8723dca798abfad16adc3b2e3c520a12781ae77f26c89709e967b26e85bcc1e9fd4e7aa48e1bc3e1eb5fd2508142e47b9039481831.mp3	But I didn’t think that it contained any living creature.	2	8	twenties	male	indian
099fe79e5dc6c26735e93adfcaa64962bade9caa8390365be49091b79fd9389120d6682ba8463eef2981b762bc7ef182f8c4760f52f1f687fd9c101a4429beb8	64c70fabae3d731ea5d98dc175e3271c0fcb012605d4e7d4da23b87349d365dcc8151380e21d58cdbb67db2cf813f2ece77ade0622235aa358f363d7053bcdfa.mp3	There, the alchemist separated the disk into four parts.	0	3	twenties	male	indian
099fe79e5dc6c26735e93adfcaa64962bade9caa8390365be49091b79fd9389120d6682ba8463eef2981b762bc7ef182f8c4760f52f1f687fd9c101a4429beb8	219fa76a52b039033b44af77ba9542f83b87c428d5f7a544816e20cb8379cadee666f64333f6af1d4a6e02ccfa23a5016ebfd742cfe95356daac22a23ef3f5c9.mp3	The boy continued to listen to his heart as they crossed the desert.	0	3	twenties	male	indian
099fe79e5dc6c26735e93adfcaa64962bade9caa8390365be49091b79fd9389120d6682ba8463eef2981b762bc7ef182f8c4760f52f1f687fd9c101a4429beb8	dfe2745cfda9eeacfb0ab120d43a38b60b96dbe7c4ab92ffbae03f1694d1c1946ad87cfc0152fb1b1beb9211944b249eb7ea2913340e00ebe57a644f43e92000.mp3	Now he was here not with his flock, but with a shovel.	0	6	twenties	male	indian
099fe79e5dc6c26735e93adfcaa64962bade9caa8390365be49091b79fd9389120d6682ba8463eef2981b762bc7ef182f8c4760f52f1f687fd9c101a4429beb8	5e75226d122c19b3132d2d4b3c12e74522b456fbb1c0318901ac1ee1652b6c1775d8a29b2a372478370bcd6faa2bed51619183a46fd62b28158ff6b9cd66ce49.mp3	"""You can't be the wind,"" the wind said."	0	3	twenties	male	indian
